Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Morgantown Energy Facility,-60745,Steam Turbine,50,405911,92.67,8771.67,1260966.21,6095921.6,656156.8,8013044.61,Coal,18.1243864
Morgantown Generating Station,-109885,Internal Combustion,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,#VALUE!
Morgantown Solar Park,-34923,Solar,1.6,2437,17.39,NA,0,0,42296.52,42296.52,Solar,0
Morris Genco Landfill,-16740,Internal Combustion,2,12725,72.63,10982.16,171331.62,508668.16,24431.89,704431.67,Biomass,53.43809666
Morris Genco Landfill,-16730,Internal Combustion,2,12725,72.63,10982.16,171331.62,508668.16,24431.89,704431.67,Biomass,53.43809666
Morris Power,-63171,Combined Cycle,186.8,652557,39.88,5881.96,1540561.1,11286489.91,2908927.49,15735978.5,Gas,19.6565986
Moser,-5240,Gas Turbine,60,5019,0.95,13410.04,119306.94,815763.64,320055.95,1255126.53,Oil,186.3061526
Mother Ann Lee Hydro,-12947,Hydraulic Turbine,2.3,8535,42.36,NA,176662.09,0,249054.52,425716.61,Water,20.69854599
Mother Ann Lee Hydro,-12943,Hydraulic Turbine,2.3,8535,42.36,NA,176662.09,0,249054.52,425716.61,Water,20.69854599
Mottville,-5247,Hydraulic Turbine,1.6,5433,38.76,NA,164044,0,486254,650298,Water,30.19399963
Mount Carmel Cogeneration,-16281,Steam Turbine,43,294021,78.06,12064.88,1161361.05,11315687.66,564294.85,13041343.56,Coal,42.43591005
Mount Clinton,-12659,Internal Combustion,10,251,0.29,10398.41,84354.43,31362.12,123458.83,239175.39,Oil,461.0221116
Mount Clinton CT,-12660,Gas Turbine,12,231,0.22,15935.06,31533.59,44255.44,85331.26,161120.29,Oil,328.091039
Mount St. Mary's PV Park,-62098,Solar,15.38,23187,17.21,NA,0,0,406575.26,406575.26,Solar,0
Mount St. Mary's PV Park,-61997,Solar,15.38,23187,17.21,NA,0,0,406575.26,406575.26,Solar,0
Mount Storm,-5265,Steam Turbine,1676,9846148,67.06,10141.79,38775389,286122670.2,53536979,378435038.2,Coal,32.99747873
Mount Storm CT,-5266,Gas Turbine,15,80,0.06,21787.5,19841.45,48815,191944.38,260600.83,Oil,858.205625
Mount Storm Wind Project (NedPower),-55341,Wind Turbine,264,618493,26.74,NA,1311815,0,4606232.22,5918047.22,Wind,2.12098601
Mount Storm Wind Project (NedPower),-13395,Wind Turbine,264,618493,26.74,NA,1311815,0,4606232.22,5918047.22,Wind,2.12098601
Mountain,-107396,Gas Turbine,50,3725,0.85,16199.73,105528.75,720144.02,283464.78,1109137.54,Oil,221.6571195
Mountain View Landfill,-90926,Internal Combustion,14.4,10992,8.71,10866.08,222382.39,550440.64,182146.65,954969.68,Biomass,70.30777202
Mountain View Landfill,-90925,Internal Combustion,14.4,10992,8.71,10866.08,222382.39,550440.64,182146.65,954969.68,Biomass,70.30777202
Mountaineer,-5256,Steam Turbine,1299,7463219,65.59,10004.92,23221412,162609973.3,32697487,218528872.3,Coal,24.89962914
Mountaineer Wind Energy Center,-43,Wind Turbine,66,89049,15.4,NA,571940.02,0,1506391.73,2078331.75,Wind,6.422756235
MPEA Energy Center,-18194,Gas Turbine,3.3,0,0,11315,0,0,15126.53,15126.53,Gas,#DIV/0!
MPEA Energy Center - IC,-48693,Internal Combustion,6,NA,NA,11075,NA,NA,58459.11,NA,Oil,#VALUE!
Mt. Laurel CleanLight Solar Project,-28879,Solar,2.8,NA,NA,NA,NA,NA,74018.9,NA,Solar,#VALUE!
MTHS Co-Gen Buildings,-86999,Internal Combustion,1.2,0,0,11075,0,0,11390.42,11390.42,Gas,#DIV/0!
Muddy Run Pumped Storage Facility,-48832,Pumped Storage,1070,1141937,12.18,NA,2982803.39,35817527.4,4134129.96,42934460.75,Water,33.97764569
Murfreesboro Solar Project,-53095,Solar,5,10057,22.96,NA,0,0,132176.61,132176.61,Solar,0
Murray Hill Solar,-28011,Solar,1,1740,19.86,NA,0,0,26435.32,26435.32,Solar,0
Museum of Science and Industry Cogen,-87344,Internal Combustion,1.7,0,0,11075,0,1778.69,16136.43,17915.12,Gas,#DIV/0!
Nalco Chemical Company,-5300,Combined Cycle,4.2,13707,37.26,5904,110164.93,238739.1,108243.9,457147.92,Gas,25.45444153
Naperville Cogeneration Facility,-5306,Gas Turbine,12,34473,32.79,22372.15,59790.82,2274932.63,112742.79,2447466.24,Gas,67.72614655
Napoleon,-5307,Internal Combustion,5.4,16,0.03,10250.01,9268.58,1951.42,54986.31,66206.31,Oil,701.25
Napoleon Biogas,-60391,Internal Combustion,2.4,5694,27.08,6842.47,98004.87,118314.62,30357.78,246677.26,Biomass,37.99077801
Napoleon IC,-5308,Internal Combustion,5.4,231,0.49,10294.37,58900.73,28574.38,60833.54,148308.64,Oil,378.6801299
Napoleon Peaking Station,-9027,Gas Turbine,49.5,1514,0.35,16929.33,71532.44,77855.11,196659.49,346047.04,Gas,98.67077279
Napoleon Solar I Project,-32129,Solar,8,13335,19.03,NA,0,0,211482.58,211482.58,Solar,0
Natrium,-53700,Steam Turbine,123,556065,51.61,5698.54,3219964.62,7950464.61,1614145.73,12784574.96,Coal,20.0883516
NC One Solar Plant,-49874,Solar,1.8,NA,NA,NA,NA,NA,47583.58,NA,Solar,#VALUE!
Nelson Energy Center,-12204,Combined Cycle,625,326632,8.89,7513.54,2477368.33,7239119.48,5168441.88,14884929.68,Gas,29.74750732
NEO Freehold Gen LLC,-107399,Internal Combustion,2.2,9075,47.09,9800,125093.28,336236.48,17324.61,478654.36,Gas,50.83523526
New Castle,-107048,Steam Turbine,320,317344,11.32,11199.28,2182968.78,10413466.35,4304068.27,16900503.41,Gas,39.69331429
New Castle IC,-107060,Internal Combustion,5,9,0.02,12888.89,5213.58,1393.87,35416.89,42024.34,Oil,734.1611111
New Harvest Wind Power Project,-100906,Wind Turbine,100,287844,32.86,NA,511462.74,0,1755776.41,2267239.16,Wind,1.776874765
New Harvest Wind Power Project,-100905,Wind Turbine,100,287844,32.86,NA,511462.74,0,1755776.41,2267239.16,Wind,1.776874765
New Haven Solar RES,-97743,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
New Hope Solar Project,-113972,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
New Jersey Oak Solar Project,-102050,Solar,10,15921,18.17,NA,0,0,264353.23,264353.23,Solar,0
New Knoxville,-8534,Internal Combustion,1,NA,NA,15000,NA,NA,NA,NA,Oil,#VALUE!
New River Landfill to Gas Facility,-90948,Internal Combustion,5.4,16888,35.7,10785.94,257834.76,788849.69,69929.22,1116613.68,Biomass,61.97799917
New River Landfill to Gas Facility,-90947,Internal Combustion,5.4,16888,35.7,10785.94,257834.76,788849.69,69929.22,1116613.68,Biomass,61.97799917
Newark Bay Cogeneration,-108229,Combined Cycle,136.2,492690,41.29,8873.07,1587783.14,18083163.45,2891720.9,22562667.49,Gas,39.92560553
Newark Cogen,-17973,Steam Turbine,0.26,NA,NA,11655,NA,NA,3110.07,NA,Gas,#VALUE!
Newark Cogen,-17972,Steam Turbine,0.26,NA,NA,11655,NA,NA,3110.07,NA,Gas,#VALUE!
Newark Energy Center,-94722,Combined Cycle,735,1180342,43.73,7280.95,2879943.8,35548656.98,6078087.65,44506688.42,Gas,32.55717477
Newland Park Landfill Facility,-90817,Internal Combustion,5.4,14067,29.74,11789.01,222226.72,768531.99,66031.07,1056789.78,Biomass,70.43141466
Newland Park Landfill Facility,-90816,Internal Combustion,5.4,14067,29.74,11789.01,222226.72,768531.99,66031.07,1056789.78,Biomass,70.43141466
Newman & Company Inc.,-5411,Steam Turbine,1.8,11849,75.15,11374,444690.85,396310.66,43032.29,884033.8,Gas,70.97658115
Newport,-87170,Hydraulic Turbine,1.5,6405,48.74,NA,87815.91,0,162426.86,250242.77,Water,13.71052459
Newport,-87169,Hydraulic Turbine,1.5,6405,48.74,NA,87815.91,0,162426.86,250242.77,Water,13.71052459
NFI Cherry Hill Solar Project,-22182,Solar,1.1,1421,14.75,NA,0,0,29078.85,29078.85,Solar,0
NFI Solar PV Plant,-22044,Solar,2.4,3983,18.95,NA,0,0,63444.77,63444.77,Solar,0
NHA Mansfield Solar Project,-109681,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Niagara,-5419,Hydraulic Turbine,2.6,0,0,NA,0,0,114895.18,114895.18,Water,#DIV/0!
NIH Cogeneration Facility,-16788,Gas Turbine,22.3,144547,73.99,12042.53,202871.14,5068788.31,101517.35,5373176.79,Gas,36.47021004
Niles CT,-107400,Gas Turbine,30,0,0,12749,0,36240.67,309506.34,345747.01,Oil,#DIV/0!
"Niles, OH",-5431,Internal Combustion,5.4,13,0.03,9153.85,7530.73,1393.87,54986.31,63910.91,Oil,686.5076923
Nixon Farm Solar Project,-96671,Solar,1.2,1895,53.93,NA,0,0,10603.1,10603.1,Solar,0
North Allegheny Wind,-32273,Wind Turbine,70,136361,22.24,NA,437263.76,0,1352052.5,1789316.25,Wind,3.206662902
North Anna,-5460,Nuclear,1958,16270632,94.86,10400,51785205,138343034,95245564,285373803,Nuclear,11.68536287
North Anna,-5459,Nuclear,1958,16270632,94.86,10400,51785205,138343034,95245564,285373803,Nuclear,11.68536287
North Anna Hydro,-5461,Hydraulic Turbine,1,3632,41.46,NA,1347542,0,15120,1362662,Water,371.0192731
North Chicago Energy Center,-65558,Gas Turbine,12.3,35456,32.91,11419.2,49762.35,1194282.48,74063.36,1318108.19,Gas,35.08700446
North Jersey Media Group Solar Facility,-66105,Solar,4.1,6066,16.89,NA,0,0,108384.82,108384.82,Solar,0
North Main Road Solar Project,-59527,Solar,2.3,4062,20.16,NA,0,0,60801.24,60801.24,Solar,0
North Ninth Street,-5481,Internal Combustion,14.3,1211,0.97,9994.22,76364.97,42542.52,139897.01,258804.49,Gas,98.18950454
North Ninth Street Solar,-99047,Solar,0.3,404,15.37,NA,0,0,7930.6,7930.6,Solar,0
North Run,-88159,Solar,5,7931,19.79,NA,0,0,120950.65,120950.65,Solar,0
Northampton,-95048,Steam Turbine,112,452512,46.12,11250.25,1878300.95,9125016.85,2560765.77,13564083.57,Coal,24.31607957
Northampton,-94640,Steam Turbine,112,452512,46.12,11250.25,1878300.95,9125016.85,2560765.77,13564083.57,Coal,24.31607957
Northeastern Illinois University Cogen,-65704,Internal Combustion,3.2,26,0.09,6576.92,15061.45,504.4,29215.71,44781.56,Gas,598.6865385
Northeastern Power Cogeneration Facility,-5498,Steam Turbine,52,NA,NA,14725.88,NA,NA,NA,NA,Coal,#VALUE!
Northern Neck,-5499,Gas Turbine,70,102,0.02,21784.31,22993,27542,130321,180856,Oil,495.4411765
Northern Tier Landfill,-99225,Internal Combustion,1.6,9452,67.44,11293.8,123550.15,438567.22,17206.62,579323.99,Biomass,59.47073318
Northwest Bergen County Solar Plant,-19661,Solar,0.33,NA,NA,NA,NA,NA,8723.66,NA,Solar,#VALUE!
Northwest Community Hospital,-98935,Internal Combustion,4.4,208,0.54,11379.81,49194.95,6982,45693.98,101870.93,Gas,270.0814904
Notch Cliff,-72867,Gas Turbine,116.7,22748,2.23,15660.81,190925.11,1037372.64,496035.08,1724332.84,Gas,53.99585678
O.H. Hutchings CT,-30216,Gas Turbine,33,0,0,11315,0,56854.08,151265.3,208119.38,Gas,#DIV/0!
Oak Ridge,-10757,Internal Combustion,3.2,20872,74.46,12284.78,320556,109698,667835,1098089,Biomass,20.61393254
Oak Street Sewage Wind Plant,-98963,Wind Turbine,1.5,1212,9.22,NA,8873.09,0,66851.02,75724.11,Wind,7.321031353
Oaks Landfill,-18787,Internal Combustion,2.3,11928,59.2,12347.59,165943.98,577704.4,26439.96,770088.34,Biomass,62.34476693
Oberlin Spear Point Solar One,-51238,Solar,2,2975,16.98,NA,0,0,52870.65,52870.65,Solar,0
"Oberlin, OH",-5569,Internal Combustion,17.9,139,0.09,62762.59,76878.04,37720.09,192580.28,307178.41,Gas,824.4469784
Ocean City Solar Project,-82736,Solar,0.45,NA,NA,NA,NA,NA,11895.9,NA,Solar,#VALUE!
Ocean County Landfill,-94642,Internal Combustion,13.8,110602,91.49,11312.65,1362995.68,4125337.58,170334.21,5658667.47,Biomass,49.62236903
Ocean County Landfill,-43291,Internal Combustion,13.8,110602,91.49,11312.65,1362995.68,4125337.58,170334.21,5658667.47,Biomass,49.62236903
Ocean Peaking Power,-107860,Gas Turbine,375.4,332450,10.11,10784.76,592642.48,13555295.97,1181508.19,15329446.64,Gas,42.55659031
Ocean Peaking Power,-107859,Gas Turbine,375.4,332450,10.11,10784.76,592642.48,13555295.97,1181508.19,15329446.64,Gas,42.55659031
Ocracoke,-5582,Internal Combustion,3,71,0.27,28802.82,30285.53,24671.54,23978.84,78935.91,Oil,774.0432394
Old Bridge - KHL1132,-18955,Solar,0.2,NA,NA,NA,NA,NA,5287.06,NA,Solar,#VALUE!
Old Trail Wind Farm (Twin Groves II),-102711,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Old Trail Wind Farm (Twin Groves II),-51668,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Old Trail Wind Farm (Twin Groves II),-51667,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Old Trail Wind Farm (Twin Groves II),-51666,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Old Trail Wind Farm (Twin Groves II),-51664,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Old Trail Wind Farm (Twin Groves II),-51663,Wind Turbine,198,604310,34.84,NA,1063217.5,0,3541411.29,4604628.78,Wind,1.759390876
Olive Solar (Clean Energy Solar Pilot Project),-86332,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Onancock Diesel Generation Facility,-114509,Internal Combustion,4,284,0.81,9193.66,49581.81,32104.8,44315.94,126002.54,Oil,287.6289085
Ontelaunee Energy Center,-45259,Combined Cycle,599,4088379,77.91,6961.03,2845429.38,82870900.84,5996633.9,91712964.12,Gas,20.9658474
Orchard Park,-10651,Internal Combustion,23.2,3556,1.75,9106.3,155172.29,74523.91,298222.9,527919.1,Gas,64.593982
Orrtanna,-107120,Gas Turbine,26,0,0,15831.84,0,42164.63,192377.95,234542.58,Oil,#DIV/0!
Orrville,-5646,Steam Turbine,78.5,221087,32.15,15473.75,1988265.68,8150657.15,1030166.18,11169089.01,Coal,45.85942561
Orrville IC,-5647,Internal Combustion,5.4,181,0.38,10287.29,58325.78,22371.65,60833.54,141530.96,Oil,445.8421547
O'Shaughnessy Hydro,-5553,Hydraulic Turbine,5.2,3390,7.44,NA,164163.89,0,136017.23,300181.12,Water,48.42592625
Ottawa Landfill Facility,-17034,Internal Combustion,4.2,10568,28.72,9959.88,169181.06,383120.92,46304.34,598606.32,Biomass,52.26173164
Owens Corning Headquarters Solar Project,-103992,Solar,2.1,128,2.76,NA,0,0,13992.61,13992.61,Solar,0
Oyster Creek,-9851,Nuclear,637,5258829,94.24,10400,49444873.57,43999560.8,54917878.49,148362312.9,Nuclear,17.7690574
P.H. Glatfelter Company - Pennsylvania,-5701,Steam Turbine,89.3,474152,60.61,5471.15,2699395.25,5335954.42,1171896.04,9207245.71,Coal,16.94678008
PA Solar Park Project,-49446,Solar,10,14546,16.61,NA,0,0,264353.23,264353.23,Solar,0
Painesville,-5711,Steam Turbine,47,9387,2.28,15531.05,84418.58,400422.91,616787.39,1101628.88,Coal,51.6503132
Painesville IC,-48618,Internal Combustion,1.8,52,0.33,12211.54,20506.34,8269.44,20494.41,49270.19,Oil,553.3803846
Panda Brandywine,-111537,Combined Cycle,230,1294284,64.24,7468.53,1782666.9,28319644.4,3426662.38,33528973.67,Gas,23.25788722
Panda Liberty Generating Station (Moxie Liberty),-109602,Combined Cycle,NA,NA,NA,NA,NA,NA,NA,NA,Gas,#VALUE!
Panther Creek,-62489,Steam Turbine,83,471192,64.81,15301.51,1631198.95,13690600.08,1584594.26,16906393.29,Coal,32.51710349
Panther Creek,-59191,Steam Turbine,83,471192,64.81,15301.51,1631198.95,13690600.08,1584594.26,16906393.29,Coal,32.51710349
Paradise Solar Project,-21561,Solar,5,8334,19.03,NA,0,0,132176.61,132176.61,Solar,0
Park 500 Philip Morris USA,-5748,Steam Turbine,11.5,31878,31.64,5364.77,651600.35,682962.44,274928.5,1609491.28,Gas,41.86469634
Parklands Landfill Solar,-68909,Solar,7.8,11800,17.27,NA,0,0,206195.52,206195.52,Solar,0
Parlin,-12845,Combined Cycle,127.1,45623,4.1,10085.28,366677.94,2141764.85,2976960.57,5485403.36,Gas,54.98197817
Parlin Solar Farm,-98485,Solar,1.3,1328,11.66,NA,0,0,34365.92,34365.92,Solar,0
Parsippany Solar Plant,-53495,Solar,1.2,NA,NA,NA,NA,NA,31722.39,NA,Solar,#VALUE!
Patriot Power Generation Plant (Moxie Patriot),-109606,Combined Cycle,NA,NA,NA,NA,NA,NA,NA,NA,Gas,#VALUE!
Patriots Stadium Solar Plant,-87784,Solar,1,1295,14.78,NA,0,0,26435.32,26435.32,Solar,0
Patton Wind Farm,-32694,Wind Turbine,30,94853,36.09,NA,201596.21,0,592968.54,794564.75,Wind,2.125354074
Paulsboro Refinery,-98579,Combined Cycle,57,407146,81.54,11670.93,1808514.69,6524845.63,1469024.29,9802384.61,Gas,20.46774454
Paulsboro Refinery,-98578,Combined Cycle,57,407146,81.54,11670.93,1808514.69,6524845.63,1469024.29,9802384.61,Gas,20.46774454
Paulsboro Refinery Other,-98586,Other,11.6,71165,70.03,NA,NA,NA,NA,NA,Coal,#VALUE!
Paulsboro Refinery Other,-98585,Other,11.6,71165,70.03,NA,NA,NA,NA,NA,Coal,#VALUE!
Paxton Creek Cogeneration,-70651,Internal Combustion,12,3290,3.13,8866.57,117842.73,157553.59,139444.73,414841.04,Gas,83.70708815
Paxton Creek Cogeneration,-70650,Internal Combustion,12,3290,3.13,8866.57,117842.73,157553.59,139444.73,414841.04,Gas,83.70708815
Peach Bottom,-5789,Nuclear,2444,19858302,92.75,10400,128224739.4,166150405.6,179166526.6,473541671.6,Nuclear,14.82378226
Peach Bottom,-5788,Nuclear,2444,19858302,92.75,10400,128224739.4,166150405.6,179166526.6,473541671.6,Nuclear,14.82378226
Pearl Hollow Landfill,-9863,Internal Combustion,2.4,6760,32.15,11538.91,106565.2,283920,25809.93,416295.13,Biomass,57.76408284
Pedricktown Cogeneration Plant,-108171,Combined Cycle,130.5,268891,23.52,8596.98,1622901.19,7403278.74,2924830.8,11951010.73,Gas,33.5681742
Pendleton County Landfill,-10616,Internal Combustion,3.2,20557,73.33,11918.18,276781.62,891800,37012.01,1205593.63,Biomass,56.84592207
Pennsauken Landfill,-99223,Internal Combustion,2.7,7592,32.1,12623.95,119594.48,351680.42,28467.69,499742.59,Biomass,62.07519758
Pennsauken Solar,-92526,Solar,1.5,2352,17.9,NA,0,0,39652.98,39652.98,Solar,0
Pennsbury Generating Station,-8585,Gas Turbine,5.4,406,0.86,32733.99,27960.94,57592.08,73797.18,159350.19,Biomass,210.7217241
Perdue Bridgeville Solar Project,-47834,Solar,1.3,2018,17.72,NA,0,0,34365.92,34365.92,Solar,0
Perdue Diesel Generation Facility,-114485,Internal Combustion,4,238,0.68,9210.08,49052.85,26953.92,44315.94,120322.71,Oil,319.3561765
Perdue Salisbury Photovoltaic Plant,-47943,Solar,1,1475,16.84,NA,0,0,26435.32,26435.32,Solar,0
Perry,-55197,Nuclear,1268,9482845,85.37,10400,73765025.03,79341049.6,94521656.3,247627730.9,Nuclear,16.14558443
Perry,-55196,Nuclear,1268,9482845,85.37,10400,73765025.03,79341049.6,94521656.3,247627730.9,Nuclear,16.14558443
Perryman,-72869,Gas Turbine,463.4,430179,11.75,10900.29,774419.99,18446090.58,1544323.2,20764833.77,Gas,44.68026233
Perryman Solar Farm,-80568,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
PG Cnty Brown Station Road II,-13804,Internal Combustion,3.2,2849,10.16,100000,71044.41,57321.88,34413.24,162779.53,Biomass,45.05661285
Philadelphia Refinery,-100355,Steam Turbine,20.6,67226,37.25,17155.91,3564053.26,0,2793044.76,6357098.02,Other Nonrenewable,53.0159947
Philadelphia Refinery,-56394,Steam Turbine,20.6,67226,37.25,17155.91,3564053.26,0,2793044.76,6357098.02,Other Nonrenewable,53.0159947
Philadelphia Road,-72871,Gas Turbine,60.9,3920,0.73,18749.74,119704.85,886223.88,322800.92,1328729.65,Oil,256.6144719
Philip Morris USA Solar Project,-88242,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Philpott Lake,-5863,Hydraulic Turbine,15.6,25036,18.32,NA,579573,0,335261.47,914834.47,Water,23.1495846
Pickering Solar,-65601,Solar,1.4,2145,17.49,NA,0,0,37009.45,37009.45,Solar,0
Pilesgrove Solar Project,-114773,Solar,17.7,27968,18.04,NA,0,0,467905.21,467905.21,Solar,0
Pilot Hill Wind Project (K4 Wind Farm),-75814,Wind Turbine,175,234347,45.74,NA,743401.9,0,2606884.37,3350286.27,Wind,3.172227082
Pilot Hill Wind Project (K4 Wind Farm),-75813,Wind Turbine,175,234347,45.74,NA,743401.9,0,2606884.37,3350286.27,Wind,3.172227082
Pilot Hill Wind Project (K4 Wind Farm),-75812,Wind Turbine,175,234347,45.74,NA,743401.9,0,2606884.37,3350286.27,Wind,3.172227082
Pine Grove Landfill,-90899,Internal Combustion,5.4,2665,5.63,12260.41,91643.35,166087.92,66680.76,324412.04,Biomass,96.70966979
Pine Grove Landfill,-90898,Internal Combustion,5.4,2665,5.63,12260.41,91643.35,166087.92,66680.76,324412.04,Biomass,96.70966979
Piney,-112279,Hydraulic Turbine,27.6,75683,31.3,NA,732857.54,0,521543.47,1254401.01,Water,9.683251721
Piney,-112278,Hydraulic Turbine,27.6,75683,31.3,NA,732857.54,0,521543.47,1254401.01,Water,9.683251721
Pinnacle Wind Farm,-107521,Wind Turbine,55.2,170294,35.22,NA,336321.76,0,1043120.15,1379441.9,Wind,1.974947796
Pinnacle Wind Farm,-107520,Wind Turbine,55.2,170294,35.22,NA,336321.76,0,1043120.15,1379441.9,Wind,1.974947796
Pinnacles,-5904,Hydraulic Turbine,10.5,35445,38.54,NA,506279.73,0,360775.44,867055.17,Water,14.28353026
Pioneer Crossing Landfill,-97651,Internal Combustion,8,48041,68.55,11266.48,628500.45,1970146.36,100976.02,2699622.83,Biomass,54.09227139
Pioneer Crossing Landfill,-97650,Internal Combustion,8,48041,68.55,11266.48,628500.45,1970146.36,100976.02,2699622.83,Biomass,54.09227139
Pioneer Trail Wind Farm,-18671,Wind Turbine,150.4,479096,36.36,NA,763578.36,0,2624538.85,3388117.21,Wind,1.593789888
Piqua CT,-5911,Gas Turbine,36.5,0,0,79621.95,0,47043.18,227526.29,274569.47,Oil,#DIV/0!
Pittsylvania Power Station,-9203,Steam Turbine,83,267414,36.78,15981.09,6118914,13326074,3713516,23158504,Biomass,72.71492143
Plainfield One Solar,-87368,Solar,1.3,1527,13.41,NA,0,0,34365.92,34365.92,Solar,0
Plainfield Solar,-90265,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Plainfield Solar,-90264,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Plainsboro Solar Project,-98927,Solar,2.4,2667,12.69,NA,0,0,63444.77,63444.77,Solar,0
Pleasant Valley CT,-12015,Gas Turbine,13,250,0.22,15960,34930.36,47949.2,94472.69,177352.25,Oil,331.51824
Pleasant Valley IC,-12009,Internal Combustion,4,85,0.24,10588.24,47293.51,10802.51,44315.94,102411.95,Oil,683.4825882
Pleasants,-69129,Steam Turbine,1300,7047532,61.89,10601.06,18070134.84,183581665.9,37232491.07,238884291.8,Coal,28.61310892
Pleasants County,-57062,Gas Turbine,321.3,963089,34.22,10599.04,1351691.56,28947747.71,1019550.43,31318989.7,Gas,31.4606846
Plymouth,-15390,Steam Turbine,146.1,472008,36.88,6000.11,5085189.49,4078671.8,3558759.67,12722620.95,Biomass,19.4146313
